ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
1,1,VII,HD 4004,HIP 3415,,,00 43 28.39,+64 45 35.4,122.0825,1.9012,WN4b,SSM96,SB1?,"La83, MS86, MMH98, MG99, Ni00",11.2,11.02,10.51,10.15,10.36,10.74,10.1,9.79,8.206,7.857,7.48,,(Cas OB7),,3.15,RC20
2,2,VII,HD 6327,HIP 5100,,,01 05 23.03,+60 25 18.9,124.65,-2.41,WN2b,SSM96,VB,"Hip97, MMH98",11.62,11.46,11.33,11.17,11.04,10.35,10.99,,10.036,9.783,9.445,,Cas OB1:,,2.4,CSM19
3,3,VII,HD 9974,HIP 7681,,,01 38 55.62,+58 09 22.6,129.1797,-4.1382,WN3ha,MMC04,SB2,"MLS86,MS86,SH89,SM89,SS96",10.54,10.64,10.7,10.73,9.85,10.62,10.61,10.58,10.237,10.134,10.009,,,,2.9,RC20
4,4,VII,HD 16523,HIP 12527,,,02 41 11.67,+56 43 49.8,137.5948,-2.9839,WC5+?,VI,"SB1, no d.e.l.","MS86,CM89,RC89,SS90,VII",10.73,10.73,10.53,10.53,10.03,10.3,9.8,9.68,8.749,8.566,7.877,,,,3.75,RC20
5,5,VII,HD 17638,HIP 13380,,,02 52 11.66,+56 56 07.1,138.8668,-2.153,WC6,VI,,,11.68,11.49,11.02,10.76,10.97,10.85,10.37,10.06,8.626,8.336,7.653,,,,2.97,RC20
6,6,VII,HD 50896,HIP 33165,EZ CMa,,06 54 13.04,-23 55 42.0,234.7567,-10.0832,WN4b,SSM96,SB1?,"FK80,DH96,MM98,MMH98,GK99,NG99a",,6.87,6.94,6.98,5.64,6.6,6.87,6.57,6.353,6.226,5.893,Collinder 121:,,G234.8-10.1,2.27,RC20
7,7,VII,HD 56925,HIP 35378,,,07 18 29.13,-13 13 01.5,227.7503,-0.1285,WN4b,SSM96,,MMH98,12.21,12.11,11.75,11.51,11.21,11.68,11.4,11.17,9.97,9.674,9.271,,,G227.8-0.2,4.23,RC20
8,7a,VII,,,PLMC 1,GSC 6537-0281,07 20 22.38,-23 43 57.60,237.27,-4.64,WN4/C,PM98,,,,,,,,,13.9,,,,,,,,,
9,8,VII,HD 62910,HIP 37791,,,07 44 58.22,-31 54 29.5,247.0732,-3.7926,WN7o/CE,SSM96,SB1,"Ni91,MMH98",10.99,10.95,10.48,10.27,10.08,10.69,10.16,9.92,8.57,8.322,7.928,,(Anon.Pup a:),,3.74,RC20
10,9,VII,HD 63099,HIP 37876,IC 2206,,07 45 50.40,-34 19 48.5,249.2719,-4.8376,WC5+O7,HH88,SB2 (P=14.3d),"NM84,SM89,Ni95,LM96",12.05,11.67,10.93,10.6,11.47,11.42,10.49,10.14,8.452,8.11,7.545,(HD 63077 group?),(Anon.Pup b?),,4.57,RC20
11,10,VII,HD 65865,HIP 39086,,,07 59 46.24,-28 44 03.0,245.9799,0.575,WN5h,SSM96,VB,"Ni81,Tu81,Hip97,HH88,NG99a",11.47,11.3,11.08,10.99,10.62,11.22,10.93,10.94,10.053,9.887,9.61,Ruprecht 44,,,5.46,RC20
12,11,VII,HD 68273,HIP 39953,gamma Vel,,08 09 31.96,-47 20 11.8,262.8025,-7.6858,WC8+O7.5III-V,DS99,"SB2, VB (78.5d)","SSS97,DS99,NG99a,SSK99,TC99,DS00, MPG07",,1.42,1.74,,0.64,1.58,1.83,1.7,2.15,2.25,2.1,,Gamma Vel,,0.34,vL07
13,12,VII,,,Ve5-5,MR 13,08 44 47.29,-45 58 55.4,265.1995,-1.9689,WN8h,SSM96; FM12,"SB1, no d.e.l. (P=23.92)","Ni82,CM89,SM89,LM96,RVG96,VII; FM12",11.63,11.41,10.99,10.61,10.95,11.34,10.78,10.36,8.616,8.26,7.869,,Bochum 7,,5.71,RC20
14,13,VII,,,Ve6-15,,08 49 52.95,-45 10 24.0,265.1288,-0.7674,WC6,VI,,,15.1,14.6,13.78,13.28,,,,12.39,10.135,9.635,8.864,,,,4.8,RC20
15,14,VII,HD 76536,HIP 43778,Ve5-8,,08 54 59.16,-47 35 32.6,267.5521,-1.637,WC7+?,"SS90,Sh90","SB1, no d.e.l.","CM89,Sh90,SS90,NG99a,VII",9.67,9.54,9.4,9.42,8.96,9.44,8.92,8.61,7.486,7.245,6.612,,(Anon.Vel a:),,2.22,RC20
16,15,VII,HD 79573,HIP 45237,Ve5-10,,09 13 11.76,-50 06 25.5,271.4236,-1.0817,WC6,VI,,,12.9,12.44,11.72,11.08,12.3,11.8,10.69,10.16,7.846,7.338,6.596,,(Anon.Vel b?),,2.96,RC20
17,16,VII,HD 86161,HIP 48617,,,09 54 52.89,-57 43 38.2,281.0797,-2.5509,WN8h,SSM96,,"MN82,BE89,GH89,GVM90,AB95,MMH98,NG99a",8.76,8.74,8.44,8.25,7.94,8.63,8.32,8.05,6.968,6.714,6.38,,,,2.63,RC20
18,17,VII,HD 88500,HIP 49838,,,10 10 31.90,-60 38 42.4,284.4355,-3.6884,WC5,VI,,,10.97,11.17,11.03,11.14,,10.87,10.63,10.42,9.926,9.736,9.167,,,,6.75,RC20
19,17-Jan,SM09,,,SMG09 668-4,,10 16 26.21,-57 28 05.7,283.2606,-0.6406,WN5b,"SMG09, RC15",,,,,,,,,,16.97,11.73,10.38,9.53,,,G283.3-0.6/RM10 SFC26?,3.09,RC20
20,18,VII,HD 89358,HIP 50368,,,10 17 02.26,-57 54 46.8,283.5747,-0.9656,WN4b,SSM96,,MMH98,11.91,11.66,11.11,10.72,11.1,11.26,10.75,10.34,8.566,8.205,7.676,,Car OB1:,RM10 SFC26?,3.82,RC20
21,19,VII,,,LS 3,,10 18 04.98,-58 16 26.2,283.8897,-1.1896,WC4; WC5; WC4pd+O9,SS90; CDB98; WH96,CWB (P=10.1y),VH98; Wil19,15.46,14.81,13.75,13.03,,,,12.4,9.751,9.134,8.53,,,G284.0-1.0/RM10 SFC26?,4.33,RC20
22,19a,VII,,,SMSP 1,,10 18 53.38,-58 07 52.9,283.8998,-1.0121,WN7:(h),SMS99,,,,19.16,17.45,,,16.8,,12.83,9.075,8.132,7.499,,,G284.0-1.0/RM10 SFC26?,4.77,RC20
23,20,VII,,,BS 1,,10 19 18.39,-59 09 38.8,284.5106,-1.8426,WN5o,SSM96,,,15.75,15.33,14.45,13.87,,,,13.54,11,10.432,9.927,,,,6.98,RC20
24,20-Feb,RBM11,,,SS21,WR20aa,10 23 23.48,-58 00 20.8,284.3316,-0.5836,O2If*/WN6,RBM11,,,,,,,,12.74,12.64,11.86,9.28,8.73,8.4,,,RM10 SFC26?,5.53,RC20
25,20a,VII,,,SMS 2,,10 23 58.00,-57 45 48.9,284.2667,-0.338,WN7:h/C; O3If*/WN6+O3If*/WN6,SMS99; CW11,,,,15.52,14.14,,15.26,15,13.47,12.25,8.858,8.083,7.588,Westerlund 2,,RCW49/RM10 SFC26?,5.03,RC20
26,20b,VII,,,SMSP 3,,10 24 18.39,-57 48 29.7,284.3288,-0.3517,WN6ha,RSN11,,,,17.09,15.4,,,15.1,,12.11,8.653,7.797,7.18,Westerlund 2,,RCW49/RM10 SFC26?,3.07,RC20
27,20-Mar,RBM11,,,WR20c,,10 25 02.60,-57 21 47.3,284.1757,-0.0778,O2If*/WN6,RBM11,,,,,,,,18.03,17.26,14.85,10.51,9.57,9.04,,,RM10 SFC26?,2.5,rc20
28,21,VII,HD 90657,HIP 51109,,,10 26 31.40,-58 38 26.1,285.0171,-0.9032,WN5o+O4-6; WN5o+O7V,SSM96; FM12,SB2 (P=8.25d),"NM82,SM89,LM96,MMH98,GN99,NG99a; FM12",10.15,10.03,9.76,9.58,9.53,10.16,9.71,9.49,8.414,8.217,8.033,,,,3.99,rc20
29,21a,VII,,,THA 35-II-42,1E 1024.0-5732,10 25 56.49,-57 48 43.5,284.5154,-0.2394,O2If/WN5,MSA16,d.e.l.,"McB94,Re99",,,12.8,,,13,,11.69,8.808,8.2,7.833,,,RM10 SFC26?,4.38,rc20
30,22,VII,HD 92740,HIP 52308,HR 4188,,10 41 17.50,-59 40 36.8,287.1742,-0.8475,WN7ha; WN7h+O9III-V,"SSM96; SS99,RV96",SB2,"CN79,SM89,GR91,RV96,MMH98,NG99a,SSS99",7.18,7.24,7.16,7.14,5.69,6.48,6.39,6.23,5.705,5.578,5.389,,Car OB1,NGC 3372,2.33,RC20
31,23,VII,HD 92809,HIP 52331,,,10 41 38.31,-58 46 18.7,286.7804,-0.0314,WC6,VI,,NG99a,9.62,9.62,9.67,9.72,9.02,9.51,9.11,8.87,7.889,7.602,7.055,Bochum 10,Car OB1:,NGC 3372,2.55,RC20
32,24,VII,HD 93131,HIP 52488,,,10 43 52.24,-60 07 04.0,287.6681,-1.0822,WN6ha,SSM96,,"CN79,NG99a",,7.16,7.2,7.28,5.52,6.46,6.48,6.35,6.097,6.012,5.816,Collinder 228:,Car OB1,NGC 3372,3.55,RC20
33,25,VII,HD 93162,,PPM 339385,,10 44 10.37,-59 43 11.1,287.5145,-0.713,O2.5If*/WN6+O,CW11; GGM06,SB1; CWB (P~208d),GGM06,9.14,9.01,8.84,8.57,7.9,8.51,8.07,7.79,6.26,5.97,5.721,Trumpler 16,Car OB1,NGC 3372,1.97,RC20
34,26,VII,,,MS 1,,10 44 32.11,-57 50 23.9,286.675,0.9696,WN7b/CE,SSM96,,,15.85,15.53,14.61,13.91,,,,13.17,10.838,10.272,9.675,,,,6.7,RC20
