WR_lc#,spec_class,binary_bool,zero_amp,char_freq,log_amp_grad,w_noise,peak_loc,peak_HWHM
WR52_lc0,WC4,0,111.0651621,4.20839342,1.612927048,8.557856973,2.850465242,0.001947005
WR4_lc0,WC5,0,162.0421241,2.8076569,1.430441885,13.04070598,0.349993091,0.001615905
WR17_lc0,WC5,0,294.4401306,0.999994301,0.888871201,15.78032621,3.121135536,0.013850456
WR17_lc1,WC5,0,298.6956941,0.999998669,1.012189349,16.90353978,74.03747725,0.006733095
WR15_lc0,WC6,0,191.9441996,1.440362874,1.336146708,12.3488109,0.170214352,0.001496185
WR15_lc1,WC6,0,165.8535699,1.467919805,1.273445771,10.551735,0.27162955,0.030275239
WR23_lc0,WC6,0,96.82117289,0.450044539,2.000000534,8.347430944,0.999998254,0.004999818
WR23_lc1,WC6,0,209.4758618,0.999833529,0.888823056,3.407009181,0.250569979,0.001217118
WR14_lc0,WC7,0,247.9331332,2.21605088,1.448853469,7.189014262,0.130020911,0.000906317
WR14_lc1,WC7,0,160.7682517,3.192179937,1.573590806,6.648427181,1.470164907,0.001667629
WR90_lc0,WC7,0,151.0992292,2.614389858,1.314768429,3.734621842,10.04718317,0.007220145
WR53_lc0,WC8,0,288.7830144,2.764058198,1.805823405,13.65383479,1.230148984,0.000603557
WR57_lc0,WC8,0,243.568365,2.496710023,1.513439002,11.91134855,0.770492084,0.000618602
WR59_lc0,WC9,0,441143.9337,0.059558615,1.111891778,10.29154305,0.488732147,0.003673708
WR103_lc0,WC9,0,4154.569275,0.763461087,1.327106994,0.100051949,4.010429282,0.000628543
WR3_lc0,WN3,0,568.4902799,9.999434917,1.577328507,10.4345343,9.392285252,0.002134376
WR46_lc0,WN3,0,46148.91278,0.034224719,0.800887216,1.639416769,3.290325953,1.58E-05
WR46_lc1,WN3,0,6226.766569,1.002692987,0.982021542,1.004653952,6.590277799,0.000742103
WR6_lc0,WN4,0,5097.674266,0.868538455,19.99999712,69.24181319,1.330143448,0.00013005
WR6_lc1,WN4,0,5383.506087,0.899093704,4.378212896,55.97743952,0.530060319,9.14E-06
WR6_lc2,WN4,0,3239.378063,0.797942928,3.060723261,17.00020723,99.99768831,9.989018666
WR7_lc0,WN4,0,999.9998245,1.301005985,1.853971475,31.72622252,0.390018886,3.92E-05
WR7_lc1,WN4,0,646.8991793,1.843357405,1.911649439,26.30396151,0.370033612,5.33E-05
WR18_lc0,WN4,0,380.8680088,0.723559074,1.562724926,18.00230974,0.110024874,0.00048869
WR18_lc1,WN4,0,246.2383591,0.997350245,1.477936803,16.66211309,0.811632485,0.001274672
WR18_lc2,WN4,0,491.0652729,0.997833144,3.084102317,31.48551189,0.470029616,0.000330267
WR18_lc3,WN4,0,425.254893,0.99999933,2.523250406,29.12692027,0.610072444,0.000509809
WR10_lc0,WN5,0,999.9880578,4.543700751,3.570809661,40.86807051,0.490130294,7.59E-05
WR24_lc0,WN6,0,1770.820091,0.999999982,1.76846331,9.143895041,30.66755338,0.009515904
WR24_lc1,WN6,0,1924.404594,0.999999999,1.675040727,1.006162084,41.29077977,0.039228804
WR24_lc2,WN6,0,1866.448765,0.999254022,1.661463883,0.541028302,1.51027959,0.000293133
WR43B_lc0,WN6,0,33085.42517,1.050655487,3.646749976,397.5557038,0.530052144,1.71E-06
WR43C_lc0,WN6,0,29061.59877,1.08937322,4.190438319,287.717649,0.5300526,1.46E-06
WR67_lc0,WN6,0,17796.76058,0.42044493,1.520975527,73.76554721,0.150005099,7.42E-06
WR67_lc1,WN6,0,5304.40047,1.270841681,1.867690001,38.31128846,0.370056486,3.30E-05
WR71_lc0,WN6,0,2743.609988,1.825048099,1.420747123,12.3238753,0.390077523,2.67E-05
WR75_lc0,WN6,0,869.8588375,0.692088305,1.862270961,19.32411071,0.190106745,4.10E-05
WR85_lc0,WN6,0,47.02028035,0.832092704,1.339504378,1.963515338,4.144517302,0.019186356
WR85_lc1,WN6,0,150.113325,0.331664415,1.293771162,7.790072028,1.709417391,0.005817402
WR78_lc0,WN7,0,1836.176503,1.341388164,3.08829104,12.09082905,3.89005707,0.001237549
WR87_lc0,WN7,0,1829.505698,1.365538685,3.090032671,18.41127345,0.470025576,0.000178496
WR55_lc0,WN7 ,0,5148.814748,1.283647087,1.626581325,20.52135075,0.130000879,4.76E-05
WR12_lc0,WN8,0,19782.82087,0.217638619,1.973595801,57.23129608,1.410140092,0.000859829
WR12_lc1,WN8,0,20987.52504,0.132774483,1.22385376,12.54033893,0.149992181,5.42E-05
WR16_lc0,WN8,0,9999.999754,0.099999994,0.948780791,1.000063082,0.050019861,0.000103902
WR16_lc1,WN8,0,5835.929929,0.099999994,0.809281735,1.000262754,0.310010412,3.24E-05
WR40_lc0,WN8,0,5822.218568,0.950799224,2.050092344,22.64972149,1.31065213,0.001999152
WR40_lc1,WN8,0,19060.2537,0.224663082,1.29602173,1.019805513,1.591982045,1.313860424
WR40_lc2,WN8,0,5261.175659,0.992147233,2.530910511,26.82249698,0.249999765,7.45E-06
WR66_lc0,WN8,0,2050.5742,1.548585122,1.452493305,9.266534974,0.470048087,7.75E-05
