WR# (1),Spectral Type,Binary Status (1),u,b,v,r,U,B,V,G,J,H,K,M_stel,log_M_loss,Temp,log_Rt,wind_vel,M_v,log_L,R_stel,binary_bool,zero_amp,char_freq,log_amp_grad,w_noise,peak_loc,peak_HWHM,H_line,avail_TESS_LC,Ref
3,WN3ha,SB2,10.54,10.64,10.7,10.73,9.85,10.62,10.61,10.58,10.237,10.134,10.009,15,-5.4,89.1,1.2,2700,-3.13,5.56,2.48,0,568.4902799,9.999434917,1.577328507,10.4345343,9.392285252,0.002134376,,1,(1) - Crowther et al.
4,WC5+?,"SB1, no d.e.l.",10.73,10.73,10.53,10.53,10.03,10.3,9.8,9.68,8.749,8.566,7.877,20,-4.37,79,0.5,2528,-5.14,5.71,3.85,0,162.0421241,2.8076569,1.430441885,13.04070598,0.349993091,0.001615905,,1,(2) - Sander et al. (2018)
6,WN4b,SB1?,,6.87,6.94,6.98,5.64,6.6,6.87,6.57,6.353,6.226,5.893,23,-4.2,89.1,0.3,1700,-5.33,5.79,3.25,0,5383.506087,0.899093704,4.378212896,55.97743952,0.530060319,9.14E-06,,1,(3) - Hamann et al. (2019)
7,WN4b,,12.21,12.11,11.75,11.51,11.21,11.68,11.4,11.17,9.97,9.674,9.271,13,-4.8,112.2,0.3,1600,-3.62,5.36,1.26,0,646.8991793,1.843357405,1.911649439,26.30396151,0.370033612,5.33E-05,,0,
9,WC5+O7,SB2 (P=14.3d),12.05,11.67,10.93,10.6,11.47,11.42,10.49,10.14,8.452,8.11,7.545,0,0,0,0,0,0,0,0,1,298.2916115,2.566294899,1.622646743,9.323751734,0.690070254,0.000286383,,0,
10,WN5h,VB,11.47,11.3,11.08,10.99,10.62,11.22,10.93,10.94,10.053,9.887,9.61,23,-5.2,63.1,1.2,1100,-5.08,5.83,6.93,0,999.9880578,4.543700751,3.570809661,40.86807051,0.490130294,7.59E-05,,1,
11,WC8+O7.5III-V,"SB2, VB (78.5d)",,1.42,1.74,,0.64,1.58,1.83,1.7,2.15,2.25,2.1,0,0,0,0,0,0,0,0,1,902.7040073,2.511832275,2.501324948,12.59455974,0.550098396,0.000203401,,0,
12,WN8h,"SB1, no d.e.l. (P=23.92)",11.63,11.41,10.99,10.61,10.95,11.34,10.78,10.36,8.616,8.26,7.869,30,-4.3,44.7,1,1200,-6.68,5.98,16.38,0,19782.82087,0.217638619,1.973595801,57.23129608,1.410140092,0.000859829,,0,
14,WC7+?,"SB1, no d.e.l.",9.67,9.54,9.4,9.42,8.96,9.44,8.92,8.61,7.486,7.245,6.612,22.1,-4.39,71,0.6,2194,-5.37,5.78,5.16,0,160.7682517,3.192179937,1.573590806,6.648427181,1.470164907,0.001667629,,1,
15,WC6,,12.9,12.44,11.72,11.08,12.3,11.8,10.69,10.16,7.846,7.338,6.596,30.6,-4.14,79,0.5,2675,-5.69,5.99,5.31,0,191.9441996,1.440362874,1.336146708,12.3488109,0.170214352,0.001496185,,1,
16,WN8h,,8.76,8.74,8.44,8.25,7.94,8.63,8.32,8.05,6.968,6.714,6.38,19,-4.6,44.7,0.9,650,-6.14,5.72,11.56,0,5835.929929,0.099999994,0.809281735,1.000262754,0.310010412,3.24E-05,,1,
17,WC5,,10.97,11.17,11.03,11.14,,10.87,10.63,10.42,9.926,9.736,9.167,21,-4.4,79,0.5,2231,-5.6,5.74,4.01,0,294.4401306,0.999994301,0.888871201,15.78032621,3.121135536,0.013850456,,1,
18,WN4b,,11.91,11.66,11.11,10.72,11.1,11.26,10.75,10.34,8.566,8.205,7.676,38,-4.1,112.2,0.3,1800,-5.36,6.11,2.82,0,491.0652729,0.997833144,3.084102317,31.48551189,0.470029616,0.000330267,,0,
21,WN5o+O4-6; WN5o+O7V,SB2 (P=8.25d),10.15,10.03,9.76,9.58,9.53,10.16,9.71,9.49,8.414,8.217,8.033,0,0,0,0,0,0,0,0,1,4354.542898,0.343576079,1.343291448,10.85941798,1.610006017,0.000261053,,0,
22,WN7ha; WN7h+O9III-V,SB2,7.18,7.24,7.16,7.14,5.69,6.48,6.39,6.23,5.705,5.578,5.389,75,-4.4,44.7,1.3,1785,-7.17,6.28,22.65,1,2269.09135,0.828305502,1.966053795,20.16480916,0.670068617,0.00019333,,1,
23,WC6,,9.62,9.62,9.67,9.72,9.02,9.51,9.11,8.87,7.889,7.602,7.055,17.4,-4.49,79,0.5,2342,-4.91,5.61,3.43,0,135.0043235,2.773502341,1.54924646,7.873772284,0.250077123,0.001311037,,1,
24,WN6ha,,,7.16,7.2,7.28,5.52,6.46,6.48,6.35,6.097,6.012,5.816,114,-4.3,50.1,1.35,2160,-7.34,6.47,21.73,0,1770.820091,0.999999982,1.76846331,9.143895041,30.66755338,0.009515904,,1,
25,O2.5If*/WN6+O,SB1; CWB (P~208d),9.14,9.01,8.84,8.57,7.9,8.51,8.07,7.79,6.26,5.97,5.721,98,-4.6,50.1,1.5,2480,-6.98,6.38,20.24,1,709.1406679,1.935901215,3.072861516,8.816448614,0.970010861,3.14E-05,,0,
31,WN4o+O8V,"SB2, VB (P=4.83d)",,10.97,10.69,,10.38,10.95,10.56,10.39,9.172,8.962,8.688,0,0,0,0,0,0,0,0,1,1559.925167,1.259127251,1.396916566,12.83099209,2.730304262,0.000157345,,0,
40,WN8h,,7.79,7.79,7.6,7.51,7.1,7.86,7.69,7.46,6.622,6.407,6.107,26,-4.2,44.7,0.7,650,-6.88,5.91,14.51,0,5261.175659,0.992147233,2.530910511,26.82249698,0.249999765,7.45E-06,,1,
42,WC7+O7V,SB2 (P=7.89d),,8.31,8.25,,7.44,8.18,8.05,7.92,7.589,7.519,7.084,0,0,0,0,0,0,0,0,1,369.8322276,1.184594373,1.193285396,2.749775963,4.950558746,0.002756521,,0,
